"place"	"timestamp"	"sample_type"	"Season"
"A01"	"A"	"0"	"soil"	"fall"
"A02"	"A"	"0"	"soil"	"fall"
"A0F"	"A"	"0"	"fabric"	"fall"
"A141"	"A"	"14"	"soil"	"fall"
"A142"	"A"	"14"	"soil"	"fall"
"A1_P"	"A"	"P"	"soil"	"summer"
"A2_P"	"A"	"P"	"soil"	"summer"
"A3_P"	"A"	"P"	"soil"	"summer"
"A4_P"	"A"	"P"	"fabric"	"summer"
"A72"	"A"	"7"	"soil"	"fall"
"B02"	"B"	"0"	"soil"	"fall"
"B0F"	"B"	"0"	"fabric"	"fall"
"B141"	"B"	"14"	"soil"	"fall"
"B1_P"	"B"	"P"	"soil"	"summer"
"B2_P"	"B"	"P"	"soil"	"summer"
"B3_P"	"B"	"P"	"soil"	"summer"
"B4_P"	"B"	"P"	"fabric"	"summer"
"B71"	"B"	"7"	"soil"	"fall"
"B72"	"B"	"7"	"soil"	"fall"
"C01"	"C"	"0"	"soil"	"fall"
"C02"	"C"	"0"	"soil"	"fall"
"C0F"	"C"	"0"	"fabric"	"fall"
"C141"	"C"	"14"	"soil"	"fall"
"C142"	"C"	"14"	"soil"	"fall"
"C1_P"	"C"	"P"	"soil"	"summer"
"C2_P"	"C"	"P"	"soil"	"summer"
"C4_P"	"C"	"P"	"fabric"	"summer"
"C71"	"C"	"7"	"soil"	"fall"
"C72"	"C"	"7"	"soil"	"fall"
"E1_P"	"E"	"P"	"soil"	"summer"
"E2_P"	"E"	"P"	"soil"	"summer"
"E3_P"	"E"	"P"	"soil"	"summer"
"E4_P"	"E"	"P"	"fabric"	"summer"
"F01"	"F"	"0"	"soil"	"fall"
"F02"	"F"	"0"	"soil"	"fall"
"F0F"	"F"	"0"	"fabric"	"fall"
"F142"	"F"	"14"	"soil"	"fall"
"F1_P"	"F"	"P"	"soil"	"summer"
"F2_P"	"F"	"P"	"soil"	"summer"
"F3_P"	"F"	"P"	"soil"	"summer"
"F4_P"	"F"	"P"	"fabric"	"summer"
"F71"	"F"	"7"	"soil"	"fall"
"F72"	"F"	"7"	"soil"	"fall"
"G1_P"	"G"	"P"	"soil"	"summer"
"G2_P"	"G"	"P"	"soil"	"summer"
"G3_P"	"G"	"P"	"soil"	"summer"
"G4_P"	"G"	"P"	"fabric"	"summer"
"H01"	"H"	"0"	"soil"	"fall"
"H02"	"H"	"0"	"soil"	"fall"
"H0F"	"H"	"0"	"fabric"	"fall"
"H141"	"H"	"14"	"soil"	"fall"
"H142"	"H"	"14"	"soil"	"fall"
"H71"	"H"	"7"	"soil"	"fall"
"H72"	"H"	"7"	"soil"	"fall"
"I01"	"I"	"0"	"soil"	"fall"
"I02"	"I"	"0"	"soil"	"fall"
"I0F"	"I"	"0"	"fabric"	"fall"
"I141"	"I"	"14"	"soil"	"fall"
"I71"	"I"	"7"	"soil"	"fall"
"I72"	"I"	"7"	"soil"	"fall"
"J01"	"J"	"0"	"soil"	"fall"
"J02"	"J"	"0"	"soil"	"fall"
"J0F"	"J"	"0"	"fabric"	"fall"
"J71"	"J"	"7"	"soil"	"fall"
"J72"	"J"	"7"	"soil"	"fall"
"K02"	"K"	"0"	"soil"	"fall"
"K0F"	"K"	"0"	"fabric"	"fall"
"K71"	"K"	"7"	"soil"	"fall"
"K72"	"K"	"7"	"soil"	"fall"
"L01"	"L"	"0"	"soil"	"fall"
"L02"	"L"	"0"	"soil"	"fall"
"L0F"	"L"	"0"	"fabric"	"fall"
"L71"	"L"	"7"	"soil"	"fall"
"L72"	"L"	"7"	"soil"	"fall"
"N01"	"N"	"0"	"soil"	"fall"
"N02"	"N"	"0"	"soil"	"fall"
"N0F"	"N"	"0"	"fabric"	"fall"
"N141"	"N"	"14"	"soil"	"fall"
"N142"	"N"	"14"	"soil"	"fall"
"N71"	"N"	"7"	"soil"	"fall"
"N72"	"N"	"7"	"soil"	"fall"
"P01"	"P"	"0"	"soil"	"fall"
"P02"	"P"	"0"	"soil"	"fall"
"P0F"	"P"	"0"	"fabric"	"fall"
"P71"	"P"	"7"	"soil"	"fall"
"P72"	"P"	"7"	"soil"	"fall"
"Q01"	"Q"	"0"	"soil"	"fall"
"Q02"	"Q"	"0"	"soil"	"fall"
"Q0F"	"Q"	"0"	"fabric"	"fall"
"Q141"	"Q"	"14"	"soil"	"fall"
"Q142"	"Q"	"14"	"soil"	"fall"
"Q71"	"Q"	"7"	"soil"	"fall"
"Q72"	"Q"	"7"	"soil"	"fall"
"R01"	"R"	"0"	"soil"	"fall"
"R02"	"R"	"0"	"soil"	"fall"
"R0F"	"R"	"0"	"fabric"	"fall"
"R141"	"R"	"14"	"soil"	"fall"
"R71"	"R"	"7"	"soil"	"fall"
"R72"	"R"	"7"	"soil"	"fall"
