"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV2"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	NA	NA
"ASV6"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"WD260"	NA	NA	NA
"ASV7"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Beijerinckiaceae"	"Roseiarcus"	NA
"ASV9"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Acidobacteriales"	NA	NA	NA
"ASV12"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium sensu stricto 13"	NA
"ASV13"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Chthoniobacterales"	"Xiphinematobacteraceae"	"Candidatus Xiphinematobacter"	NA
"ASV15"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Isosphaerales"	"Isosphaeraceae"	"Aquisphaera"	NA
"ASV16"	"Bacteria"	"Chloroflexi"	"KD4-96"	NA	NA	NA	NA
"ASV17"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	NA	NA
"ASV19"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Subgroup 2"	NA	NA	NA
"ASV21"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Frankiales"	"Acidothermaceae"	"Acidothermus"	NA
"ASV22"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Piscinibacter"	NA
"ASV23"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Acetobacterales"	"Acetobacteraceae"	NA	NA
"ASV24"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	NA
"ASV25"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Subgroup 2"	NA	NA	NA
"ASV26"	"Bacteria"	"Acidobacteriota"	"Vicinamibacteria"	"Vicinamibacterales"	NA	NA	NA
