"original"	"after_singletons"	"after_NAphylum"	"after_ASV_length"
"B1"	21599	21599	19498	19491
"B2"	59405	59405	56621	56617
"B3"	51588	51588	49038	49038
"C1"	73004	73003	68688	68688
"C2"	123237	123236	111214	111149
"A1"	66000	66000	57307	57276
"A2"	64460	64460	58096	58096
"A3"	86845	86845	82639	82636
"E3"	56532	56532	54318	54291
"F1"	56882	56881	55162	55158
"F2"	31833	31833	29472	29461
"F3"	136525	136525	121730	121704
"G1"	55382	55381	54148	54134
"E1"	46313	46313	43593	43593
"E2"	76529	76529	73463	73437
"B4"	45695	45695	42565	42556
"C4"	92028	92028	88824	88777
"E4"	125829	125828	89697	89689
"F4"	40078	40078	37491	37491
"G4"	104524	104523	99488	99461
"G2"	100498	100498	97413	97264
"A4"	74613	74613	60859	60859
"G3"	30605	30605	25412	25398
"Total"	1620004	1619998	1476736	1476264
